pipeline_name	Listeria pipeline
hits_argannot	[["Cluster_45", "(MLS)lin", "94.66", "1572/1572", "NODE_7_length_220687_cov_7.102176", "102049..103620", "NG_050599"]]
hits_card	[["Cluster_171", "norB", "94.86", "1401/1401", "NODE_1_length_427403_cov_10.557773", "195289..196689", "HE999704.1"], ["Cluster_995", "FosX", "100.00", "402/402", "NODE_12_length_97943_cov_6.696502", "79923..80324", "FFFO01000009.1"], ["Cluster_41", "Lmon_mprF", "95.57", "2598/2598", "NODE_12_length_97943_cov_6.696502", "84533..87130", "AL591981.1"], ["Cluster_117", "lin", "94.66", "1572/1572", "NODE_7_length_220687_cov_7.102176", "102049..103620", "CP002003.1"]]
hits_ncbi_amr	[["Cluster_982", "fosX", "100.00", "402/402", "NODE_12_length_97943_cov_6.696502", "79923..80324", "Fosfomycin", "NG_055654.1"], ["Cluster_73", "lin", "94.66", "1572/1572", "NODE_7_length_220687_cov_7.102176", "102049..103620", "Lincosamide", "NG_050599.1"]]
hits_resfinder	[["Cluster_579", "fosX_2", "92.56", "403/402", "NODE_12_length_97943_cov_6.696502", "79923..80324", "fosfomycin", "AL591981"]]
hits_virulencefinder	[["Cluster_15", "ActA_1", "94.21", "1916/1920", "NODE_13_length_87810_cov_10.349281", "25821..27735", "NC_003210.1"], ["Cluster_59", "AgrA_1", "98.90", "729/729", "NODE_1_length_427403_cov_10.557773", "92930..93658", "NC_003210.1"], ["Cluster_67", "clpp_1", "96.82", "597/597", "NODE_6_length_223430_cov_9.248402", "98501..99097", "NC_003210.1"], ["Cluster_55", "codY_1", "95.13", "780/780", "NODE_5_length_244231_cov_6.374635", "136377..137156", "NC_003210.1"], ["Cluster_28", "ctaP_1", "97.71", "1575/1575", "NODE_1_length_427403_cov_10.557773", "4456..6030", "NC_003210.1"], ["Cluster_72", "ctsR_1", "96.95", "459/459", "NODE_3_length_256924_cov_9.137646", "256196..256654", "NC_003210.1"], ["Cluster_40", "dal_1", "92.32", "1107/1107", "NODE_7_length_220687_cov_7.102176", "134395..135501", "NC_003210.1"], ["Cluster_61", "degU_1", "98.84", "687/687", "NODE_6_length_223430_cov_9.248402", "150328..151014", "NC_003210.1"], ["Cluster_29", "dltA_1", "96.09", "1533/1533", "NODE_7_length_220687_cov_7.102176", "53145..54677", "NC_003210.1"], ["Cluster_0", "Eut_operon_1", "97.08", "15039/15038", "NODE_5_length_244231_cov_6.374635", "26771..41809", "NC_003210.1"], ["Cluster_23", "fbpA_1", "91.65", "1713/1713", "NODE_4_length_254186_cov_7.221677", "48813..50525", "NC_003210.1"], ["Cluster_53", "FlaA_1", "98.15", "864/864", "NODE_2_length_320963_cov_7.723918", "106367..107230", "NC_003210.1"], ["Cluster_38", "FlgE_1", "93.85", "1236/1236", "NODE_2_length_320963_cov_7.723918", "100375..101610", "NC_003210.1"], ["Cluster_76", "FlgC_1", "92.94", "411/411", "NODE_2_length_320963_cov_7.723918", "88725..89135", "NC_003210.1"], ["Cluster_70", "fri_1", "97.86", "467/471", "NODE_7_length_220687_cov_7.102176", "80196..80662", "NC_003210.1"], ["Cluster_73", "fur_1", "96.25", "453/453", "NODE_4_length_254186_cov_7.221677", "183312..183764", "NC_003210.1"], ["Cluster_16", "Gmar_1", "97.13", "1914/1914", "NODE_2_length_320963_cov_7.723918", "108389..110302", "NC_017537.1"], ["Cluster_79", "hfq_1", "99.14", "234/234", "NODE_5_length_244231_cov_6.374635", "153599..153832", "NC_003210.1"], ["Cluster_27", "hly_1", "97.23", "1590/1590", "NODE_13_length_87810_cov_10.349281", "29802..31391", "NC_003210.1"], ["Cluster_35", "uHpt_1", "99.71", "1386/1386", "NODE_7_length_220687_cov_7.102176", "189845..191230", "NC_003210.1"], ["Cluster_31", "htrA_1", "98.20", "1503/1503", "NODE_3_length_256924_cov_9.137646", "178762..180264", "NC_003210.1"], ["Cluster_33", "iap_1", "94.56", "1452/1449", "NODE_2_length_320963_cov_7.723918", "211464..212873", "NC_003210.1"], ["Cluster_10", "inlA_1", "96.09", "2403/2403", "NODE_3_length_256924_cov_9.137646", "23848..26241", "NC_003210.1"], ["Cluster_17", "inlB_1", "92.44", "1891/1893", "NODE_3_length_256924_cov_9.137646", "21873..23763", "NC_003210.1"], ["Cluster_50", "inlC_1", "97.08", "891/891", "NODE_4_length_254186_cov_7.221677", "6428..7318", "NC_003210.1"], ["Cluster_26", "inlH_1", "91.32", "1648/1647", "NODE_3_length_256924_cov_9.137646", "214155..215801", "NC_003210.1"], ["Cluster_7", "inlJ_1", "96.50", "1860/2556", "NODE_1_length_427403_cov_10.557773", "189479..191338", "NC_003210.1"], ["Cluster_5", "Lap_1", "97.08", "2601/2601", "NODE_8_length_190224_cov_6.180645", "162151..164751", "NC_003210.1"], ["Cluster_1", "LapB_1", "93.34", "5139/5136", "NODE_14_length_85978_cov_6.796648", "20687..25825", "NC_003210.1"], ["Cluster_44", "biLE_1", "96.15", "987/987", "NODE_11_length_98845_cov_6.122652", "36893..37879", "NC_003210.1"], ["Cluster_81", "lhrC_1", "99.10", "111/111", "NODE_7_length_220687_cov_7.102176", "77989..78099", "NC_003210.1"], ["Cluster_54", "lgt_1", "96.52", "834/834", "NODE_6_length_223430_cov_9.248402", "113697..114530", "NC_003210.1"], ["Cluster_49", "lipA_1", "95.65", "897/897", "NODE_4_length_254186_cov_7.221677", "17371..18267", "NC_003210.1"], ["Cluster_62", "lisR_1", "97.94", "680/680", "NODE_5_length_244231_cov_6.374635", "231865..232544", "NC_003210.1"], ["Cluster_32", "lisK_1", "95.80", "1452/1452", "NODE_5_length_244231_cov_6.374635", "232542..233993", "NC_003210.1"], ["Cluster_65", "lntA_1", "95.95", "617/617", "NODE_3_length_256924_cov_9.137646", "19555..20171", "NC_003210.1"], ["Cluster_47", "lpeA_1", "96.68", "933/933", "NODE_4_length_254186_cov_7.221677", "68485..69417", "NC_003210.1"], ["Cluster_36", "lplA1_1", "93.20", "1294/1294", "NODE_7_length_220687_cov_7.102176", "90725..92018", "NC_003210.1"], ["Cluster_71", "lsp_1", "97.63", "465/465", "NODE_4_length_254186_cov_7.221677", "65096..65560", "NC_003210.1"], ["Cluster_45", "bsh_1", "97.55", "978/978", "NODE_10_length_113533_cov_7.974887", "42981..43958", "NC_003210.1"], ["Cluster_48", "mogR_1", "98.48", "921/921", "NODE_2_length_320963_cov_7.723918", "121377..122297", "NC_003210.1"], ["Cluster_30", "mpl_1", "94.85", "1533/1533", "NODE_13_length_87810_cov_10.349281", "27935..29467", "NC_003210.1"], ["Cluster_6", "mprf_1", "95.57", "2598/2598", "NODE_12_length_97943_cov_6.696502", "84533..87130", "NC_003210.1"], ["Cluster_21", "murA_1", "94.48", "1776/1773", "NODE_1_length_427403_cov_10.557773", "327297..329072", "NC_003210.1"], ["Cluster_19", "OatA_1", "93.53", "1887/1869", "NODE_5_length_244231_cov_6.374635", "147727..149613", "NC_003210.1"], ["Cluster_25", "OppA_1", "99.11", "1677/1677", "NODE_9_length_184863_cov_8.059079", "73894..75570", "NC_003210.1"], ["Cluster_74", "perR_1", "97.54", "447/447", "NODE_12_length_97943_cov_6.696502", "97109..97555", "NC_003210.1"], ["Cluster_34", "pgdA_1", "97.00", "1401/1401", "NODE_3_length_256924_cov_9.137646", "54727..56127", "NC_003210.1"], ["Cluster_43", "pgl_1", "95.68", "1041/1041", "NODE_2_length_320963_cov_7.723918", "234206..235246", "NC_003210.1"], ["Cluster_46", "plcA_1", "97.48", "954/954", "NODE_13_length_87810_cov_10.349281", "31634..32587", "NC_003210.1"], ["Cluster_12", "chiA_1", "96.65", "2271/2271", "NODE_1_length_427403_cov_10.557773", "31051..33321", "NC_003210.1"], ["Cluster_52", "plcB_1", "95.51", "869/870", "NODE_13_length_87810_cov_10.349281", "24911..25779", "NC_003210.1"], ["Cluster_60", "prfA_1", "97.48", "714/714", "NODE_13_length_87810_cov_10.349281", "32860..33573", "NC_003210.1"], ["Cluster_51", "prsA2_1", "96.26", "882/882", "NODE_9_length_184863_cov_8.059079", "96186..97067", "NC_003210.1"], ["Cluster_2", "pycA_1", "95.96", "3441/3441", "NODE_15_length_70282_cov_6.963110", "35119..38559", "NC_003210.1"], ["Cluster_42", "recA_1", "92.55", "1047/1047", "NODE_11_length_98845_cov_6.122652", "10512..11558", "NC_003210.1"], ["Cluster_13", "relA_1", "94.68", "2217/2217", "NODE_8_length_190224_cov_6.180645", "42347..44563", "NC_003210.1"], ["Cluster_78", "Rli55_1", "99.65", "283/283", "NODE_5_length_244231_cov_6.374635", "26489..26771", "NC_003210.1"], ["Cluster_80", "Rli60_1", "98.92", "185/185", "NODE_4_length_254186_cov_7.221677", "201267..201450", "NC_003210.1"], ["Cluster_77", "Rsbv_1", "96.81", "345/345", "NODE_7_length_220687_cov_7.102176", "130183..130527", "NC_003210.1"], ["Cluster_11", "secA2_1", "97.00", "2331/2331", "NODE_2_length_320963_cov_7.723918", "208709..211039", "NC_003210.1"], ["Cluster_4", "clpB_1", "92.62", "2602/2601", "NODE_9_length_184863_cov_8.059079", "83909..86509", "NC_003210.1"], ["Cluster_56", "sigB_1", "96.41", "780/780", "NODE_7_length_220687_cov_7.102176", "128969..129748", "NC_003210.1"], ["Cluster_68", "sipX_1", "98.41", "567/567", "NODE_5_length_244231_cov_6.374635", "125007..125573", "NC_003210.1"], ["Cluster_69", "sipZ_1", "97.79", "543/543", "NODE_5_length_244231_cov_6.374635", "126279..126821", "NC_003210.1"], ["Cluster_66", "sod_1", "97.54", "609/609", "NODE_11_length_98845_cov_6.122652", "58059..58667", "NC_003210.1"], ["Cluster_64", "srtA_1", "94.32", "669/669", "NODE_7_length_220687_cov_7.102176", "92736..93404", "NC_003210.1"], ["Cluster_58", "srtB_1", "99.86", "741/741", "NODE_9_length_184863_cov_8.059079", "58313..59053", "NC_018642.1"], ["Cluster_57", "stp_1", "95.92", "759/759", "NODE_4_length_254186_cov_7.221677", "40110..40868", "NC_003210.1"], ["Cluster_24", "svpA_1", "93.45", "1710/1710", "NODE_9_length_184863_cov_8.059079", "61755..63464", "NC_003210.1"], ["Cluster_41", "tcsA_1", "99.53", "1074/1074", "NODE_5_length_244231_cov_6.374635", "242960..244033", "NC_003210.1"], ["Cluster_37", "tig_1", "98.13", "1284/1284", "NODE_5_length_244231_cov_6.374635", "122161..123444", "NC_003210.1"], ["Cluster_9", "clpc_1", "94.28", "2463/2463", "NODE_3_length_256924_cov_9.137646", "252155..254617", "NC_003210.1"], ["Cluster_63", "virR_1", "97.94", "678/678", "NODE_12_length_97943_cov_6.696502", "33834..34511", "NC_003210.1"], ["Cluster_14", "clpe_1", "93.56", "2175/2175", "NODE_7_length_220687_cov_7.102176", "30672..32840", "NC_003210.1"]]
hits_vfdb_core	[["Cluster_563", "VFG000068", "94.21", "1916/1920", "NODE_13_length_87810_cov_10.349281", "25821..27735", "actA", "NP_463735"], ["Cluster_2236", "VFG000069", "95.51", "869/870", "NODE_13_length_87810_cov_10.349281", "24911..25779", "plcB", "NP_463736"], ["Cluster_981", "VFG000070", "94.56", "1452/1449", "NODE_2_length_320963_cov_7.723918", "211464..212873", "iap/cwhA", "NP_464110"], ["Cluster_871", "VFG000071", "94.85", "1533/1533", "NODE_13_length_87810_cov_10.349281", "27935..29467", "mpl", "NP_463734"], ["Cluster_2707", "VFG000072", "97.48", "714/714", "NODE_13_length_87810_cov_10.349281", "32860..33573", "prfA", "NP_463731"], ["Cluster_2019", "VFG000073", "97.48", "954/954", "NODE_13_length_87810_cov_10.349281", "31634..32587", "plcA", "NP_463732"], ["Cluster_825", "VFG000074", "97.23", "1590/1590", "NODE_13_length_87810_cov_10.349281", "29802..31391", "hly", "NP_463733"], ["Cluster_347", "VFG000075", "96.09", "2403/2403", "NODE_3_length_256924_cov_9.137646", "23848..26241", "inlA", "NP_463962"], ["Cluster_580", "VFG000076", "92.44", "1891/1893", "NODE_3_length_256924_cov_9.137646", "21873..23763", "inlB", "NP_463963"], ["Cluster_3032", "VFG000077", "96.82", "597/597", "NODE_6_length_223430_cov_9.248402", "98501..99097", "clpP", "NP_465991"], ["Cluster_325", "VFG000079", "94.28", "2463/2463", "NODE_3_length_256924_cov_9.137646", "252155..254617", "clpC", "NP_463763"], ["Cluster_431", "VFG000080", "93.56", "2175/2175", "NODE_7_length_220687_cov_7.102176", "30672..32840", "clpE", "NP_464522"], ["Cluster_1085", "VFG001089", "97.98", "1386/1386", "NODE_7_length_220687_cov_7.102176", "189845..191230", "hpt", "NP_464364"], ["Cluster_719", "VFG001090", "93.45", "1710/1710", "NODE_9_length_184863_cov_8.059079", "61755..63464", "hbp2", "NP_465709"], ["Cluster_2068", "VFG002157", "96.68", "933/933", "NODE_4_length_254186_cov_7.221677", "68485..69417", "lpeA", "NP_465372"], ["Cluster_1915", "VFG002158", "92.77", "996/996", "NODE_7_length_220687_cov_7.102176", "90873..91868", "lplA1", "NP_464456"], ["Cluster_712", "VFG002160", "91.65", "1713/1713", "NODE_4_length_254186_cov_7.221677", "48813..50525", "fbpA", "NP_465354"], ["Cluster_3398", "VFG002161", "97.63", "465/465", "NODE_4_length_254186_cov_7.221677", "65096..65560", "lspA", "NP_465369"], ["Cluster_1957", "VFG002162", "97.55", "978/978", "NODE_10_length_113533_cov_7.974887", "42981..43958", "bsh", "NP_465591"], ["Cluster_290", "VFG006717", "97.08", "2601/2601", "NODE_8_length_190224_cov_6.180645", "162151..164751", "lap", "NP_465159"], ["Cluster_295", "VFG006721", "96.50", "1860/2556", "NODE_1_length_427403_cov_10.557773", "189479..191338", "inlJ", "NP_466343"], ["Cluster_53", "VFG032762", "93.34", "5139/5136", "NODE_14_length_85978_cov_6.796648", "20687..25825", "lapB", "NP_465191"], ["Cluster_2201", "VFG032878", "96.26", "882/882", "NODE_9_length_184863_cov_8.059079", "96186..97067", "prsA2", "NP_465743"], ["Cluster_2166", "VFG032910", "97.08", "891/891", "NODE_4_length_254186_cov_7.221677", "6428..7318", "inlC", "NP_465311"], ["Cluster_2981", "VFG032965", "95.95", "618/618", "NODE_3_length_256924_cov_9.137646", "19554..20171", "lntA", "NP_463967"], ["Cluster_595", "VFG032992", "93.53", "1887/1869", "NODE_5_length_244231_cov_6.374635", "147727..149613", "oatA", "NP_464816"], ["Cluster_1059", "VFG033025", "97.00", "1401/1401", "NODE_3_length_256924_cov_9.137646", "54727..56127", "pdgA", "NP_463944"], ["Cluster_3976", "VFG045331", "98.00", "150/150", "NODE_17_length_11478_cov_4.354947", "5889..6038", "llsA", "AHK25016"], ["Cluster_2174", "VFG045332", "97.30", "888/888", "NODE_17_length_11478_cov_4.354947", "6103..6990", "llsG", "AHK25017"], ["Cluster_2582", "VFG045333", "97.60", "750/750", "NODE_17_length_11478_cov_4.354947", "6990..7739", "llsH", "AHK25018"], ["Cluster_3789", "VFG045334", "97.48", "318/318", "NODE_17_length_11478_cov_4.354947", "7780..8097", "llsX", "AHK25019"], ["Cluster_2220", "VFG045335", "96.69", "876/876", "NODE_17_length_11478_cov_4.354947", "8094..8969", "llsB", "AHK25020"], ["Cluster_2113", "VFG045336", "96.30", "918/918", "NODE_17_length_11478_cov_4.354947", "8977..9894", "llsY", "AHK25021"], ["Cluster_1190", "VFG045337", "98.10", "1314/1314", "NODE_17_length_11478_cov_4.354947", "9887..11200", "llsD", "AHK25022"], ["Cluster_2966", "VFG045468", "90.27", "627/624", "NODE_9_length_184863_cov_8.059079", "63477..64103", "hbp1/svpA", "NP_465710"], ["Cluster_1485", "VFG049468", "95.20", "1167/1167", "NODE_6_length_223430_cov_9.248402", "100754..101920", "inlP", "NP_465993"]]
hits_plasmidfinder	[]
mlst-ST	6
mlst-CC	CC6
mlst-Lineage	I
mlst-percent_detected	100.0
mlst-abcZ	abcZ,3,100.00,537/537,DNA
mlst-bglA	bglA,9,100.00,399/399,DNA
mlst-cat	cat,9,100.00,486/486,DNA
mlst-dapE	dapE,3,100.00,462/462,DNA
mlst-dat	dat,3,100.00,471/471,DNA
mlst-ldh	ldh,1,100.00,453/453,DNA
mlst-lhkA	lhkA,5,100.00,480/480,DNA
species_confirmation-prs	prs,2,100.00,370/370,DNA
species_confirmation-prfA	prfA,4,100.00,714/714,DNA
typing_amr-aacA4	aacA4,-,-,-,DNA
typing_amr-aadC	aadC,-,-,-,DNA
typing_amr-aadE	aadE,-,-,-,DNA
typing_amr-aphA	aphA,-,-,-,DNA
typing_amr-cat_CHL	cat_CHL,-,-,-,DNA
typing_amr-dfrD	dfrD,-,-,-,DNA
typing_amr-dfrK	dfrK,-,-,-,DNA
typing_amr-ermB	ermB,-,-,-,DNA
typing_amr-ermG	ermG,-,-,-,DNA
typing_amr-fexA	fexA,-,-,-,DNA
typing_amr-fosX	fosX,2,100.00,402/402,DNA
typing_amr-lmo0919	lmo0919,5,100.00,1572/1572,DNA
typing_amr-lnuA	lnuA,-,-,-,DNA
typing_amr-lnuG	lnuG,-,-,-,DNA
typing_amr-mefA	mefA,-,-,-,DNA
typing_amr-mphB	mphB,-,-,-,DNA
typing_amr-mprF	mprF,1,95.58,2599/2599,DNA
typing_amr-msrD	msrD,-,-,-,DNA
typing_amr-norB	norB,2,100.00,1401/1401,DNA
typing_amr-penA	penA,-,-,-,DNA
typing_amr-qnrB	qnrB,-,-,-,DNA
typing_amr-str	str,-,-,-,DNA
typing_amr-sul	sul,2,100.00,816/816,DNA
typing_amr-tetM	tetM,-,-,-,DNA
typing_amr-tetS	tetS,-,-,-,DNA
typing_virulence-prfA	prfA,4,100.00,714/714,DNA
typing_virulence-plcA	plcA,10,100.00,954/954,DNA
typing_virulence-hly	hly,10,100.00,1590/1590,DNA
typing_virulence-mpl	mpl,9,100.00,1533/1533,DNA
typing_virulence-actA	actA,5,100.00,1920/1920,DNA
typing_virulence-plcB	plcB,6,100.00,870/870,DNA
typing_virulence-LIPI3_llsA	LIPI3_llsA,1,100.00,150/150,DNA
typing_virulence-LIPI3_llsG	LIPI3_llsG,1,100.00,888/888,DNA
typing_virulence-LIPI3_llsH	LIPI3_llsH,3,100.00,750/750,DNA
typing_virulence-LIPI3_llsX	LIPI3_llsX,3,100.00,318/318,DNA
typing_virulence-LIPI3_llsB	LIPI3_llsB,4,100.00,876/876,DNA
typing_virulence-LIPI3_llsY	LIPI3_llsY,4,100.00,918/918,DNA
typing_virulence-LIPI3_llsD	LIPI3_llsD,1,100.00,1314/1314,DNA
typing_virulence-LIPI3_llsP	LIPI3_llsP,-,-,-,DNA
typing_virulence-inlA	inlA,8,100.00,2394/2394,DNA
typing_virulence-inlB	inlB,9,100.00,1893/1893,DNA
typing_virulence-inlC	inlC,8,100.00,891/891,DNA
typing_virulence-inlE	inlE,6,100.00,1500/1500,DNA
typing_virulence-inlF	inlF,7,100.00,2472/2472,DNA
typing_virulence-inlG	inlG,3,100.00,1473/1473,DNA
typing_virulence-inlH	inlH,7,100.00,1647/1647,DNA
typing_virulence-inlJ	inlJ,176,100.00,2751/2751,DNA
typing_virulence-inlK	inlK,9,100.00,1821/1821,DNA
typing_virulence-agrA	agrA,6,100.00,729/729,DNA
typing_virulence-agrC	agrC,7,100.00,1296/1296,DNA
typing_virulence-ami	ami,-,-,-,DNA
typing_virulence-aut	aut,-,-,-,DNA
typing_virulence-bsh	bsh,7,100.00,978/978,DNA
typing_virulence-cheA	cheA,8,100.00,1857/1857,DNA
typing_virulence-cheY	cheY,5,100.00,360/360,DNA
typing_virulence-cwhA	cwhA,7,100.00,1410/1410,DNA
typing_virulence-dltA	dltA,10,100.00,1533/1533,DNA
typing_virulence-fbpA	fbpA,8,100.00,1713/1713,DNA
typing_virulence-fur	fur,2,100.00,453/453,DNA
typing_virulence-gtcA	gtcA,6,100.00,438/438,DNA
typing_virulence-hpt	hpt,8,100.00,1386/1386,DNA
typing_virulence-lap	lap,9,100.00,2601/2601,DNA
typing_virulence-lapB	lapB,5,100.00,5139/5139,DNA
typing_virulence-lgt	lgt,6,100.00,834/834,DNA
typing_virulence-lisK	lisK,9,100.00,1452/1452,DNA
typing_virulence-lisR	lisR,3,100.00,681/681,DNA
typing_virulence-lntA	lntA,5,100.00,618/618,DNA
typing_virulence-lpeA	lpeA,8,100.00,933/933,DNA
typing_virulence-lplA1	lplA1,9,100.00,996/996,DNA
typing_virulence-lspA	lspA,7,100.00,465/465,DNA
typing_virulence-oatA	oatA,6,100.00,1887/1887,DNA
typing_virulence-oppA	oppA,9,100.00,1677/1677,DNA
typing_virulence-pdgA	pdgA,5,100.00,1401/1401,DNA
typing_virulence-prsA2	prsA2,8,100.00,882/882,DNA
typing_virulence-purQ	purQ,11,100.00,2220/2220,DNA
typing_virulence-srtA	srtA,7,100.00,669/669,DNA
typing_virulence-srtB	srtB,8,100.00,741/741,DNA
typing_virulence-stp	stp,5,100.00,759/759,DNA
typing_virulence-svpA	svpA,7,100.00,1710/1710,DNA
typing_virulence-tagB	tagB,-,-,-,DNA
typing_virulence-vip	vip,47,100.00,1257/1257,DNA
typing_virulence-virR	virR,4,100.00,678/678,DNA
typing_virulence-virS	virS,6,100.00,1041/1041,DNA
typing_virulence-aut_IVb	aut_IVb,2,100.00,339/339,DNA
typing_virulence-comK	comK,4,100.00,609/609,DNA
typing_virulence-gltA	gltA,1,100.00,1854/1854,DNA
typing_virulence-gltB	gltB,1,100.00,948/948,DNA
typing_virulence-inlC2	inlC2,7,100.00,1647/1647,DNA
typing_virulence-inlD	inlD,7,100.00,1707/1707,DNA
typing_virulence-inlL	inlL,-,-,-,DNA
typing_virulence-inlP1	inlP1,-,-,-,DNA
typing_virulence-inlP3	inlP3,-,-,-,DNA
typing_virulence-inlP4	inlP4,-,-,-,DNA
typing_virulence-inlPq	inlPq,-,-,-,DNA
typing_virulence-LIPI2_inlB1	LIPI2_inlB1,-,-,-,DNA
typing_virulence-LIPI2_inlB2	LIPI2_inlB2,-,-,-,DNA
typing_virulence-LIPI2_inlE	LIPI2_inlE,-,-,-,DNA
typing_virulence-LIPI2_inlF	LIPI2_inlF,-,-,-,DNA
typing_virulence-LIPI2_inlG	LIPI2_inlG,-,-,-,DNA
typing_virulence-LIPI2_inlH	LIPI2_inlH,-,-,-,DNA
typing_virulence-LIPI2_inlII	LIPI2_inlII,-,-,-,DNA
typing_virulence-LIPI2_inlJ	LIPI2_inlJ,-,-,-,DNA
typing_virulence-LIPI2_inlK	LIPI2_inlK,-,-,-,DNA
typing_virulence-LIPI2_inlL	LIPI2_inlL,-,-,-,DNA
typing_virulence-LIPI2_smlcL	LIPI2_smlcL,-,-,-,DNA
typing_virulence-LIPI2_surF3	LIPI2_surF3,-,-,-,DNA
typing_virulence-LM9005581_70009	LM9005581_70009,-,-,-,DNA
typing_virulence-LM9005581_70010	LM9005581_70010,-,-,-,DNA
typing_virulence-LM9005581_70011	LM9005581_70011,-,-,-,DNA
typing_virulence-LM9005581_70012	LM9005581_70012,-,-,-,DNA
typing_virulence-LM9005581_70013	LM9005581_70013,-,-,-,DNA
typing_virulence-LM9005581_70014	LM9005581_70014,-,-,-,DNA
typing_virulence-lmo0333	lmo0333,7,100.00,5328/5328,DNA
typing_virulence-lmo1280	lmo1280,2,100.00,780/780,DNA
typing_virulence-lmo2470	lmo2470,5,100.00,1167/1167,DNA
typing_virulence-lmo2491	lmo2491,2,100.00,648/648,DNA
typing_virulence-mdrM	mdrM,2,100.00,1470/1470,DNA
metal_detergent-bcrA	bcrA,-,-,-,DNA
metal_detergent-bcrB	bcrB,-,-,-,DNA
metal_detergent-bcrC	bcrC,-,-,-,DNA
metal_detergent-cadA	cadA,-,-,-,DNA
metal_detergent-cadC	cadC,-,-,-,DNA
metal_detergent-LGI-1_LM5578_1862	LGI-1_LM5578_1862,-,-,-,DNA
metal_detergent-qacA	qacA,-,-,-,DNA
metal_detergent-Tn6188_qac	Tn6188_qac,-,-,-,DNA
pcr_serogroup-profile_id	54
pcr_serogroup-serogroup	IVb
pcr_serogroup-percent_detected	100.0
pcr_serogroup-lmo0737	lmo0737,-,-,-,DNA
pcr_serogroup-lmo1118	lmo1118,-,-,-,DNA
pcr_serogroup-ORF2110	ORF2110,3,100.00,597/597,DNA
pcr_serogroup-ORF2819	ORF2819,3,100.00,471/471,DNA
pcr_serogroup-prs	prs,2,100.00,370/370,DNA
cgmlst-lmo0002	lmo0002,2,100.00,1146/1146,DNA
cgmlst-lmo0003	lmo0003,2,100.00,1344/1344,DNA
cgmlst-lmo0005	lmo0005,2,100.00,1113/1113,DNA
cgmlst-lmo0006	lmo0006,6,100.00,1941/1941,DNA
cgmlst-lmo0007	lmo0007,5,100.00,2529/2529,DNA
cgmlst-lmo0009	lmo0009,3,100.00,519/519,DNA
cgmlst-lmo0010	lmo0010,5,100.00,969/969,DNA
cgmlst-lmo0011	lmo0011,6,100.00,972/972,DNA
cgmlst-lmo0012	lmo0012,2,100.00,1080/1080,DNA
cgmlst-lmo0015	lmo0015,4,100.00,612/612,DNA
cgmlst-lmo0016	lmo0016,3,100.00,333/333,DNA
cgmlst-lmo0018	lmo0018,5,100.00,1434/1434,DNA
cgmlst-lmo0019	lmo0019,17,100.00,822/822,DNA
cgmlst-lmo0020	lmo0020,4,100.00,741/741,DNA
cgmlst-lmo0021	lmo0021,4,100.00,402/402,DNA
cgmlst-lmo0022	lmo0022,96,100.00,489/489,DNA
cgmlst-lmo0023	lmo0023,3,100.00,804/804,DNA
cgmlst-lmo0024	lmo0024,3,100.00,828/828,DNA
cgmlst-lmo0025	lmo0025,3,100.00,705/705,DNA
cgmlst-lmo0026	lmo0026,5,100.00,642/642,DNA
cgmlst-lmo0027	lmo0027,4,100.00,1905/1905,DNA
cgmlst-lmo0029	lmo0029,2,100.00,339/339,DNA
