pipeline_name	Neisseria pipeline
fhbp-FHbp_segment_A	FHbp_segment_A,A1.28,100.00,66/66,peptide
fhbp-fHbp_peptide	fHbp_peptide,321,100.00,260/260,peptide
resistance_genes-gyrA	gyrA,2,100.00,525/525,DNA
resistance_genes-NEIS0414	NEIS0414,263,99.96,2397/2397,DNA
resistance_genes-NEIS1320	NEIS1320,104,100.00,2751/2751,DNA
resistance_genes-NEIS1525	NEIS1525,928,100.00,2304/2304,DNA
resistance_genes-NEIS1600	NEIS1600,333,100.00,1986/1986,DNA
resistance_genes-NEIS1609	NEIS1609,263,100.00,852/852,DNA
resistance_genes-NEIS1635	NEIS1635,7,100.00,633/633,DNA
resistance_genes-NEIS1753	NEIS1753,203,100.00,1749/1749,DNA
resistance_genes-penA	penA,348,100.00,402/402,DNA
resistance_genes-pro_NEIS1635	pro_NEIS1635,5,100.00,67/67,DNA
resistance_genes-rpoB	rpoB,28,100.00,660/660,DNA
vaccine_targets-nhba	nhba,285,100.00,1281/1281,DNA
vaccine_targets-nadA	nadA,315,100.00,159/159,DNA
vaccine_targets-fHbp	fHbp,380,100.00,780/780,DNA
cgmlst-NEIS0001	NEIS0001,810,100.00,924/924,DNA
cgmlst-NEIS0004	NEIS0004,103,100.00,314/314,DNA
cgmlst-NEIS0005	NEIS0005,74,100.00,198/198,DNA
cgmlst-NEIS0006	NEIS0006,145,100.00,954/954,DNA
cgmlst-NEIS0007	NEIS0007,371,100.00,2058/2058,DNA
cgmlst-NEIS0008	NEIS0008,334,100.00,1839/1839,DNA
cgmlst-NEIS0009	NEIS0009,61,100.00,519/519,DNA
cgmlst-NEIS0010	NEIS0010,6,100.00,1326/1326,DNA
cgmlst-NEIS0011	NEIS0011,104,100.00,840/840,DNA
cgmlst-NEIS0012	NEIS0012,6,100.00,1167/1167,DNA
cgmlst-NEIS0013	NEIS0013,939,100.00,1266/1266,DNA
cgmlst-NEIS0014	NEIS0014,3,100.00,330/330,DNA
cgmlst-NEIS0015	NEIS0015,1182,100.00,1371/1371,DNA
cgmlst-NEIS0016	NEIS0016,131,100.00,979/979,DNA
cgmlst-NEIS0017	NEIS0017,27,100.00,1002/1002,DNA
cgmlst-NEIS0018	NEIS0018,19,100.00,849/849,DNA
cgmlst-NEIS0019	NEIS0019,163,100.00,486/486,DNA
cgmlst-NEIS0020	NEIS0020,70,100.00,1569/1569,DNA
cgmlst-NEIS0021	NEIS0021,1025,100.00,1266/1266,DNA
cgmlst-NEIS0034	NEIS0034,98,100.00,2151/2151,DNA
cgmlst-NEIS0035	NEIS0035,5,100.00,1227/1227,DNA
cgmlst-NEIS0036	NEIS0036,15,100.00,1044/1044,DNA
cgmlst-NEIS0037	NEIS0037,36,100.00,687/687,DNA
cgmlst-NEIS0038	NEIS0038,46,99.76,409/409,DNA
cgmlst-NEIS0039	NEIS0039,15,100.00,792/792,DNA
cgmlst-NEIS0040	NEIS0040,1,100.00,417/417,DNA
cgmlst-NEIS0041	NEIS0041,542,100.00,465/465,DNA
cgmlst-NEIS0043	NEIS0043,155,100.00,1122/1122,DNA
cgmlst-NEIS0044	NEIS0044,212,100.00,2019/2019,DNA
cgmlst-NEIS0045	NEIS0045,394,100.00,558/558,DNA
cgmlst-NEIS0046	NEIS0046,1,100.00,867/867,DNA
cgmlst-NEIS0047	NEIS0047,515,100.00,1026/1068,DNA
cgmlst-NEIS0048	NEIS0048,8,100.00,1017/1017,DNA
cgmlst-NEIS0055	NEIS0055,10,100.00,1176/1176,DNA
cgmlst-NEIS0056	NEIS0056,2,100.00,1164/1164,DNA
cgmlst-NEIS0057	NEIS0057,1,100.00,798/798,DNA
cgmlst-NEIS0058	NEIS0058,2,100.00,651/651,DNA
cgmlst-NEIS0059	NEIS0059,2242,100.00,2274/2274,DNA
cgmlst-NEIS0062	NEIS0062,?,-,-,DNA
cgmlst-NEIS0065	NEIS0065,187,100.00,558/558,DNA
cgmlst-NEIS0066	NEIS0066,1514,100.00,2025/2025,DNA
cgmlst-NEIS0067	NEIS0067,83,100.00,1260/1260,DNA
cgmlst-NEIS0068	NEIS0068,755,100.00,1407/1407,DNA
cgmlst-NEIS0069	NEIS0069,153,100.00,1215/1215,DNA
cgmlst-NEIS0071	NEIS0071,3,100.00,1017/1017,DNA
cgmlst-NEIS0072	NEIS0072,1,100.00,198/198,DNA
cgmlst-NEIS0073	NEIS0073,167,100.00,1401/1401,DNA
cgmlst-NEIS0074	NEIS0074,130,100.00,1473/1473,DNA
cgmlst-NEIS0092	NEIS0092,125,100.00,552/552,DNA
cgmlst-NEIS0093	NEIS0093,9,100.00,495/495,DNA
cgmlst-NEIS0094	NEIS0094,2,100.00,237/237,DNA
cgmlst-NEIS0095	NEIS0095,13,100.00,674/674,DNA
cgmlst-NEIS0096	NEIS0096,4,100.00,159/159,DNA
cgmlst-NEIS0097	NEIS0097,1,100.00,843/843,DNA
cgmlst-NEIS0098	NEIS0098,26,100.00,921/921,DNA
cgmlst-NEIS0099	NEIS0099,1,100.00,459/459,DNA
cgmlst-NEIS0100	NEIS0100,99,100.00,666/666,DNA
cgmlst-NEIS0101	NEIS0101,21,100.00,1218/1218,DNA
cgmlst-NEIS0102	NEIS0102,1,100.00,504/504,DNA
cgmlst-NEIS0103	NEIS0103,35,100.00,927/927,DNA
cgmlst-NEIS0104	NEIS0104,321,100.00,1260/1260,DNA
cgmlst-NEIS0105	NEIS0105,1,100.00,600/600,DNA
cgmlst-NEIS0106	NEIS0106,471,100.00,2121/2121,DNA
cgmlst-NEIS0107	NEIS0107,39,100.00,1278/1278,DNA
cgmlst-NEIS0108	NEIS0108,227,100.00,1188/1188,DNA
cgmlst-NEIS0109	NEIS0109,12,100.00,462/462,DNA
cgmlst-NEIS0110	NEIS0110,40,100.00,2307/2307,DNA
cgmlst-NEIS0113	NEIS0113,2,100.00,378/378,DNA
cgmlst-NEIS0114	NEIS0114,10,100.00,570/570,DNA
cgmlst-NEIS0115	NEIS0115,1,100.00,252/252,DNA
cgmlst-NEIS0116	NEIS0116,?,-,-,DNA
cgmlst-NEIS0117	NEIS0117,1,100.00,279/279,DNA
cgmlst-NEIS0118	NEIS0118,3,100.00,537/537,DNA
cgmlst-NEIS0119	NEIS0119,2,100.00,435/435,DNA
cgmlst-NEIS0120	NEIS0120,15,100.00,696/696,DNA
cgmlst-NEIS0121	NEIS0121,1,100.00,501/501,DNA
cgmlst-NEIS0122	NEIS0122,17,100.00,372/372,DNA
cgmlst-NEIS0123	NEIS0123,310,100.00,4185/4185,DNA
cgmlst-NEIS0124	NEIS0124,1,100.00,4176/4176,DNA
cgmlst-NEIS0125	NEIS0125,3,100.00,372/372,DNA
cgmlst-NEIS0126	NEIS0126,2,100.00,471/471,DNA
cgmlst-NEIS0127	NEIS0127,43,100.00,2106/2106,DNA
cgmlst-NEIS0128	NEIS0128,?,-,-,DNA
cgmlst-NEIS0129	NEIS0129,7,100.00,312/312,DNA
cgmlst-NEIS0132	NEIS0132,35,100.00,645/645,DNA
cgmlst-NEIS0133	NEIS0133,6,100.00,621/621,DNA
cgmlst-NEIS0134	NEIS0134,2,100.00,321/321,DNA
cgmlst-NEIS0135	NEIS0135,32,100.00,834/834,DNA
cgmlst-NEIS0136	NEIS0136,1,100.00,279/279,DNA
cgmlst-NEIS0137	NEIS0137,1,100.00,330/330,DNA
cgmlst-NEIS0138	NEIS0138,3,100.00,693/693,DNA
cgmlst-NEIS0139	NEIS0139,1,100.00,417/417,DNA
cgmlst-NEIS0140	NEIS0140,1,100.00,192/192,DNA
cgmlst-NEIS0141	NEIS0141,1,100.00,264/264,DNA
cgmlst-NEIS0142	NEIS0142,1,100.00,369/369,DNA
cgmlst-NEIS0143	NEIS0143,1,100.00,324/324,DNA
cgmlst-NEIS0144	NEIS0144,1,100.00,540/540,DNA
cgmlst-NEIS0145	NEIS0145,2,100.00,306/306,DNA
cgmlst-NEIS0146	NEIS0146,3,100.00,393/393,DNA
cgmlst-NEIS0147	NEIS0147,15,100.00,534/534,DNA
cgmlst-NEIS0148	NEIS0148,1,100.00,354/354,DNA
cgmlst-NEIS0149	NEIS0149,1,100.00,519/519,DNA
cgmlst-NEIS0150	NEIS0150,1,100.00,186/186,DNA
cgmlst-NEIS0151	NEIS0151,2,100.00,435/435,DNA
cgmlst-NEIS0152	NEIS0152,16,100.00,1311/1311,DNA
cgmlst-NEIS0153	NEIS0153,1,100.00,219/219,DNA
cgmlst-NEIS0154	NEIS0154,1,100.00,114/114,DNA
cgmlst-NEIS0155	NEIS0155,1,100.00,363/363,DNA
cgmlst-NEIS0156	NEIS0156,1,100.00,396/396,DNA
cgmlst-NEIS0157	NEIS0157,1,100.00,621/621,DNA
cgmlst-NEIS0158	NEIS0158,1,100.00,987/987,DNA
cgmlst-NEIS0159	NEIS0159,1,100.00,369/369,DNA
cgmlst-NEIS0160	NEIS0160,4,100.00,714/714,DNA
cgmlst-NEIS0161	NEIS0161,71,100.00,816/816,DNA
cgmlst-NEIS0162	NEIS0162,1,100.00,264/264,DNA
cgmlst-NEIS0163	NEIS0163,139,100.00,921/921,DNA
cgmlst-NEIS0164	NEIS0164,341,100.00,2838/2838,DNA
cgmlst-NEIS0165	NEIS0165,1,100.00,810/810,DNA
cgmlst-NEIS0166	NEIS0166,1,100.00,1257/1257,DNA
cgmlst-NEIS0167	NEIS0167,2,100.00,1392/1392,DNA
cgmlst-NEIS0168	NEIS0168,150,100.00,777/777,DNA
cgmlst-NEIS0170	NEIS0170,40,100.00,450/450,DNA
cgmlst-NEIS0171	NEIS0171,44,100.00,1047/1047,DNA
cgmlst-NEIS0172	NEIS0172,7,100.00,501/501,DNA
cgmlst-NEIS0173	NEIS0173,2038,100.00,2394/2394,DNA
cgmlst-NEIS0174	NEIS0174,15,100.00,1341/1341,DNA
cgmlst-NEIS0175	NEIS0175,154,100.00,1236/1236,DNA
cgmlst-NEIS0176	NEIS0176,40,100.00,798/798,DNA
cgmlst-NEIS0177	NEIS0177,27,100.00,747/747,DNA
cgmlst-NEIS0178	NEIS0178,32,100.00,558/558,DNA
cgmlst-NEIS0179	NEIS0179,23,100.00,1128/1128,DNA
cgmlst-NEIS0180	NEIS0180,8,100.00,486/486,DNA
cgmlst-NEIS0181	NEIS0181,32,100.00,624/624,DNA
cgmlst-NEIS0182	NEIS0182,5,100.00,774/774,DNA
cgmlst-NEIS0183	NEIS0183,33,100.00,585/585,DNA
cgmlst-NEIS0184	NEIS0184,303,100.00,1896/1896,DNA
cgmlst-NEIS0185	NEIS0185,16,100.00,1428/1428,DNA
cgmlst-NEIS0186	NEIS0186,232,100.00,990/990,DNA
cgmlst-NEIS0187	NEIS0187,196,100.00,2760/2760,DNA
cgmlst-NEIS0190	NEIS0190,11,100.00,993/993,DNA
cgmlst-NEIS0191	NEIS0191,36,100.00,1155/1155,DNA
cgmlst-NEIS0194	NEIS0194,117,100.00,300/300,DNA
cgmlst-NEIS0195	NEIS0195,34,100.00,810/810,DNA
cgmlst-NEIS0196	NEIS0196,5,100.00,378/378,DNA
cgmlst-NEIS0197	NEIS0197,38,100.00,435/435,DNA
cgmlst-NEIS0198	NEIS0198,155,100.00,726/726,DNA
cgmlst-NEIS0199	NEIS0199,227,100.00,1032/1032,DNA
cgmlst-NEIS0200	NEIS0200,6,100.00,840/840,DNA
cgmlst-NEIS0201	NEIS0201,264,100.00,1977/1977,DNA
cgmlst-NEIS0202	NEIS0202,61,99.75,401/401,DNA
cgmlst-NEIS0203	NEIS0203,?,-,-,DNA
cgmlst-NEIS0204	NEIS0204,128,100.00,2391/2391,DNA
cgmlst-NEIS0205	NEIS0205,9,100.00,987/987,DNA
cgmlst-NEIS0206	NEIS0206,10,100.00,2037/2037,DNA
cgmlst-NEIS0207	NEIS0207,17,100.00,567/567,DNA
cgmlst-NEIS0211	NEIS0211,215,100.00,1515/1515,DNA
cgmlst-NEIS0212	NEIS0212,93,100.00,852/852,DNA
cgmlst-NEIS0213	NEIS0213,178,99.91,1126/1125,DNA
cgmlst-NEIS0216	NEIS0216,1,100.00,1248/1248,DNA
cgmlst-NEIS0217	NEIS0217,1,100.00,237/237,DNA
cgmlst-NEIS0218	NEIS0218,149,100.00,1008/1008,DNA
cgmlst-NEIS0222	NEIS0222,1,100.00,474/474,DNA
cgmlst-NEIS0224	NEIS0224,384,100.00,2691/2691,DNA
cgmlst-NEIS0225	NEIS0225,9,100.00,693/693,DNA
cgmlst-NEIS0226	NEIS0226,81,100.00,1194/1194,DNA
cgmlst-NEIS0227	NEIS0227,2,100.00,738/738,DNA
cgmlst-NEIS0228	NEIS0228,100,100.00,930/930,DNA
cgmlst-NEIS0229	NEIS0229,1,100.00,648/648,DNA
cgmlst-NEIS0230	NEIS0230,1496,99.95,2208/2208,DNA
cgmlst-NEIS0231	NEIS0231,1,100.00,540/540,DNA
cgmlst-NEIS0232	NEIS0232,1,100.00,216/216,DNA
cgmlst-NEIS0233	NEIS0233,1,100.00,360/360,DNA
cgmlst-NEIS0235	NEIS0235,1,100.00,666/666,DNA
cgmlst-NEIS0236	NEIS0236,1,100.00,1494/1494,DNA
cgmlst-NEIS0237	NEIS0237,1,100.00,357/357,DNA
cgmlst-NEIS0238	NEIS0238,1,100.00,483/483,DNA
cgmlst-NEIS0239	NEIS0239,19,100.00,594/594,DNA
cgmlst-NEIS0240	NEIS0240,23,100.00,1257/1257,DNA
cgmlst-NEIS0241	NEIS0241,155,100.00,474/474,DNA
cgmlst-NEIS0242	NEIS0242,421,100.00,1302/1302,DNA
cgmlst-NEIS0243	NEIS0243,6,100.00,438/438,DNA
cgmlst-NEIS0244	NEIS0244,620,100.00,2262/2262,DNA
cgmlst-NEIS0245	NEIS0245,444,100.00,1083/1083,DNA
cgmlst-NEIS0246	NEIS0246,1,100.00,480/480,DNA
cgmlst-NEIS0247	NEIS0247,37,100.00,672/672,DNA
cgmlst-NEIS0248	NEIS0248,1,100.00,306/306,DNA
cgmlst-NEIS0249	NEIS0249,1,100.00,576/576,DNA
cgmlst-NEIS0250	NEIS0250,1,100.00,342/342,DNA
cgmlst-NEIS0251	NEIS0251,1098,100.00,2025/2025,DNA
cgmlst-NEIS0252	NEIS0252,562,100.00,1497/1497,DNA
cgmlst-NEIS0253	NEIS0253,221,100.00,1446/1446,DNA
cgmlst-NEIS0254	NEIS0254,15,100.00,393/393,DNA
cgmlst-NEIS0255	NEIS0255,48,100.00,897/897,DNA
cgmlst-NEIS0256	NEIS0256,113,100.00,225/225,DNA
cgmlst-NEIS0257	NEIS0257,179,100.00,924/924,DNA
cgmlst-NEIS0258	NEIS0258,50,100.00,1854/1854,DNA
cgmlst-NEIS0259	NEIS0259,32,100.00,585/585,DNA
cgmlst-NEIS0260	NEIS0260,16,100.00,327/327,DNA
cgmlst-NEIS0261	NEIS0261,25,100.00,720/720,DNA
cgmlst-NEIS0262	NEIS0262,22,100.00,465/465,DNA
cgmlst-NEIS0263	NEIS0263,146,100.00,726/726,DNA
cgmlst-NEIS0264	NEIS0264,19,100.00,771/771,DNA
cgmlst-NEIS0265	NEIS0265,29,100.00,789/789,DNA
cgmlst-NEIS0269	NEIS0269,350,100.00,2301/2301,DNA
cgmlst-NEIS0270	NEIS0270,218,100.00,783/783,DNA
cgmlst-NEIS0271	NEIS0271,46,100.00,957/957,DNA
cgmlst-NEIS0272	NEIS0272,39,100.00,1539/1539,DNA
cgmlst-NEIS0273	NEIS0273,9,100.00,699/699,DNA
cgmlst-NEIS0274	NEIS0274,41,100.00,1005/1005,DNA
cgmlst-NEIS0275	NEIS0275,34,100.00,2409/2409,DNA
cgmlst-NEIS0276	NEIS0276,1012,100.00,1143/1143,DNA
cgmlst-NEIS0288	NEIS0288,1,100.00,1881/1881,DNA
cgmlst-NEIS0289	NEIS0289,1,100.00,633/633,DNA
cgmlst-NEIS0290	NEIS0290,13,100.00,1371/1371,DNA
cgmlst-NEIS0291	NEIS0291,1896,100.00,1869/1869,DNA
cgmlst-NEIS0292	NEIS0292,31,100.00,615/615,DNA
cgmlst-NEIS0294	NEIS0294,3,100.00,231/231,DNA
cgmlst-NEIS0302	NEIS0302,200,100.00,747/747,DNA
cgmlst-NEIS0303	NEIS0303,290,100.00,1566/1566,DNA
cgmlst-NEIS0304	NEIS0304,283,100.00,1866/1866,DNA
cgmlst-NEIS0305	NEIS0305,82,100.00,927/927,DNA
cgmlst-NEIS0306	NEIS0306,9,100.00,408/408,DNA
cgmlst-NEIS0307	NEIS0307,142,100.00,963/963,DNA
cgmlst-NEIS0308	NEIS0308,443,99.53,426/426,DNA
cgmlst-NEIS0309	NEIS0309,1,100.00,252/252,DNA
cgmlst-NEIS0310	NEIS0310,198,100.00,1056/1056,DNA
cgmlst-NEIS0311	NEIS0311,16,100.00,528/528,DNA
cgmlst-NEIS0312	NEIS0312,12,100.00,180/180,DNA
cgmlst-NEIS0313	NEIS0313,84,100.00,504/504,DNA
cgmlst-NEIS0314	NEIS0314,152,100.00,591/591,DNA
cgmlst-NEIS0315	NEIS0315,168,100.00,711/711,DNA
cgmlst-NEIS0316	NEIS0316,33,100.00,1638/1638,DNA
cgmlst-NEIS0317	NEIS0317,58,100.00,222/222,DNA
cgmlst-NEIS0318	NEIS0318,21,100.00,366/366,DNA
cgmlst-NEIS0319	NEIS0319,10,100.00,135/135,DNA
cgmlst-NEIS0320	NEIS0320,238,100.00,1557/1557,DNA
cgmlst-NEIS0321	NEIS0321,72,100.00,1104/1104,DNA
cgmlst-NEIS0323	NEIS0323,267,100.00,2058/2058,DNA
cgmlst-NEIS0324	NEIS0324,10,100.00,444/444,DNA
cgmlst-NEIS0325	NEIS0325,3,100.00,516/516,DNA
cgmlst-NEIS0326	NEIS0326,768,100.00,2631/2631,DNA
cgmlst-NEIS0331	NEIS0331,1,100.00,312/312,DNA
cgmlst-NEIS0332	NEIS0332,5,100.00,341/341,DNA
cgmlst-NEIS0333	NEIS0333,21,100.00,351/351,DNA
cgmlst-NEIS0334	NEIS0334,63,100.00,774/774,DNA
cgmlst-NEIS0335	NEIS0335,97,100.00,528/528,DNA
cgmlst-NEIS0336	NEIS0336,114,100.00,657/657,DNA
cgmlst-NEIS0337	NEIS0337,24,100.00,324/324,DNA
cgmlst-NEIS0338	NEIS0338,24,100.00,2178/2178,DNA
cgmlst-NEIS0339	NEIS0339,7,100.00,324/324,DNA
cgmlst-NEIS0340	NEIS0340,10,100.00,966/966,DNA
cgmlst-NEIS0341	NEIS0341,70,100.00,957/957,DNA
cgmlst-NEIS0342	NEIS0342,1,100.00,2016/2016,DNA
cgmlst-NEIS0343	NEIS0343,202,100.00,1311/1311,DNA
cgmlst-NEIS0344	NEIS0344,11,100.00,435/435,DNA
cgmlst-NEIS0345	NEIS0345,20,100.00,642/642,DNA
cgmlst-NEIS0346	NEIS0346,193,100.00,738/738,DNA
cgmlst-NEIS0347	NEIS0347,1,100.00,441/441,DNA
cgmlst-NEIS0348	NEIS0348,170,100.00,678/678,DNA
cgmlst-NEIS0350	NEIS0350,347,100.00,1065/1065,DNA
cgmlst-NEIS0351	NEIS0351,23,100.00,918/918,DNA
cgmlst-NEIS0352	NEIS0352,375,100.00,1914/1914,DNA
cgmlst-NEIS0353	NEIS0353,279,100.00,1329/1329,DNA
cgmlst-NEIS0354	NEIS0354,50,100.00,1284/1284,DNA
cgmlst-NEIS0355	NEIS0355,26,100.00,564/564,DNA
cgmlst-NEIS0356	NEIS0356,47,100.00,888/888,DNA
cgmlst-NEIS0357	NEIS0357,45,100.00,1362/1362,DNA
cgmlst-NEIS0358	NEIS0358,26,100.00,453/453,DNA
cgmlst-NEIS0360	NEIS0360,45,100.00,1041/1041,DNA
cgmlst-NEIS0361	NEIS0361,8,100.00,579/579,DNA
cgmlst-NEIS0362	NEIS0362,3,100.00,900/900,DNA
cgmlst-NEIS0363	NEIS0363,61,100.00,3216/3216,DNA
cgmlst-NEIS0366	NEIS0366,13,100.00,390/390,DNA
cgmlst-NEIS0367	NEIS0367,19,100.00,244/244,DNA
cgmlst-NEIS0368	NEIS0368,1,100.00,147/147,DNA
cgmlst-NEIS0370	NEIS0370,335,100.00,1134/1134,DNA
cgmlst-NEIS0372	NEIS0372,604,100.00,1080/1080,DNA
cgmlst-NEIS0373	NEIS0373,28,100.00,510/510,DNA
cgmlst-NEIS0374	NEIS0374,1,100.00,441/441,DNA
cgmlst-NEIS0375	NEIS0375,10,100.00,501/501,DNA
cgmlst-NEIS0376	NEIS0376,248,100.00,696/696,DNA
cgmlst-NEIS0377	NEIS0377,193,100.00,432/432,DNA
cgmlst-NEIS0378	NEIS0378,400,100.00,1677/1677,DNA
cgmlst-NEIS0379	NEIS0379,295,100.00,1092/1092,DNA
cgmlst-NEIS0380	NEIS0380,-,-,-,DNA
cgmlst-NEIS0381	NEIS0381,921,100.00,1299/1299,DNA
cgmlst-NEIS0382	NEIS0382,194,100.00,957/957,DNA
cgmlst-NEIS0383	NEIS0383,941,100.00,2790/2790,DNA
cgmlst-NEIS0384	NEIS0384,1,100.00,498/498,DNA
cgmlst-NEIS0385	NEIS0385,20,100.00,969/969,DNA
cgmlst-NEIS0386	NEIS0386,160,100.00,660/660,DNA
cgmlst-NEIS0389	NEIS0389,819,100.00,3435/3435,DNA
cgmlst-NEIS0390	NEIS0390,60,100.00,234/234,DNA
cgmlst-NEIS0392	NEIS0392,5,100.00,204/204,DNA
cgmlst-NEIS0394	NEIS0394,223,100.00,837/837,DNA
cgmlst-NEIS0395	NEIS0395,300,100.00,1293/1293,DNA
cgmlst-NEIS0396	NEIS0396,417,100.00,1911/1911,DNA
cgmlst-NEIS0397	NEIS0397,331,100.00,1176/1176,DNA
cgmlst-NEIS0402	NEIS0402,344,100.00,1422/1422,DNA
cgmlst-NEIS0403	NEIS0403,251,100.00,1110/1110,DNA
cgmlst-NEIS0404	NEIS0404,1,100.00,465/465,DNA
cgmlst-NEIS0405	NEIS0405,166,100.00,843/843,DNA
cgmlst-NEIS0406	NEIS0406,9,100.00,1080/1080,DNA
cgmlst-NEIS0407	NEIS0407,10,100.00,513/513,DNA
cgmlst-NEIS0408	NEIS0408,4,100.00,2286/2286,DNA
